iter	PRAUC:type=Classic	Logloss
246	0.6460576703	0.6505251264
247	0.6460969596	0.6504794781
248	0.6461881735	0.6504300591
249	0.6463390606	0.6503765932
250	0.6464125899	0.6503411141
251	0.6464749605	0.6502702333
252	0.6466078562	0.6502164047
253	0.6466420442	0.6501705895
254	0.6466780452	0.6501553889
255	0.6467538449	0.6501206569
256	0.6469448011	0.6500629443
257	0.6470550225	0.6500066612
258	0.6471310854	0.6499629044
259	0.6472400864	0.6499294897
260	0.6473081902	0.649876148
261	0.6473879247	0.6498212416
262	0.6474543062	0.6497969921
263	0.6474894119	0.6497458622
264	0.6475530781	0.6497056824
265	0.6476629963	0.6496371383
266	0.6477441985	0.6495805962
267	0.647822364	0.6495116974
268	0.6480063949	0.6494518617
269	0.6480770557	0.6493975506
270	0.6481481441	0.6493153049
271	0.6482201556	0.6492606194
272	0.6483424248	0.64921616
273	0.648411763	0.6491848511
274	0.6484690914	0.6491309798
275	0.6485343571	0.6490971701
276	0.6485966723	0.6490501391
277	0.6486337379	0.6489912825
278	0.6486866756	0.6489683795
279	0.6487056777	0.6489500719
280	0.6487390352	0.6489219768
281	0.648741846	0.6489210549
282	0.6488098712	0.6488800816
283	0.6489106143	0.648827561
284	0.6491030462	0.6487857512
285	0.6491388173	0.6487267618
286	0.6491873363	0.6486923885
287	0.6492133688	0.6486499448
288	0.6493075865	0.648602768
289	0.6493695962	0.6485662391
290	0.6494348555	0.6485111368
291	0.6495358202	0.6484738551
292	0.6496351409	0.6484270061
293	0.6496944991	0.6483826502
294	0.6498054274	0.6483131321
295	0.6499532225	0.648273544
296	0.6500015853	0.6482343141
297	0.6500828217	0.6481845254
298	0.650137566	0.6481496213
299	0.6501940159	0.6481193134
300	0.6502262559	0.6480462209
301	0.650312488	0.6480074155
302	0.65038389	0.6479731028
303	0.6503954366	0.6479443428
304	0.6504425173	0.6478985038
305	0.6505007039	0.6478416803
306	0.6506308989	0.6478066675
307	0.6506550975	0.6477734564
308	0.6507198493	0.647733408
309	0.6507946038	0.6476783232
310	0.6508836852	0.6476285138
311	0.650938806	0.6475907688
312	0.650990556	0.64755336
313	0.6510895218	0.6475069327
314	0.6511662008	0.647475528
315	0.6512459485	0.6474362758
316	0.6513114869	0.6473749766
317	0.6513339193	0.6473336488
318	0.6514256124	0.6472913184
319	0.6514859658	0.647252868
320	0.6515476956	0.6472302948
321	0.6515884517	0.6471979855
322	0.6516611006	0.6471546644
323	0.6516701627	0.6471474463
324	0.6517289113	0.6471009403
325	0.6517458463	0.6470903599
326	0.651785519	0.6470358858
327	0.6518529062	0.646983175
328	0.6518821855	0.6469669092
329	0.6519609647	0.6469331433
330	0.6521273116	0.6468646023
331	0.6521807614	0.6468280794
332	0.6522680811	0.6467870296
333	0.652354868	0.6467347079
334	0.6523865111	0.6466927475
335	0.6524950526	0.6466546053
336	0.652596967	0.6466090169
337	0.6526706775	0.6465739192
338	0.652688225	0.6465563047
